episode,score,score_100_ave
1,447.4050689368771,447.4050689368771
2,434.65590973662046,441.0304893367488
3,349.781661572163,410.61421341522026
4,449.3467547311108,420.2973487441929
5,493.25506683905365,434.8888923631651
6,531.1581843012983,450.93377435285396
7,468.2858736726599,453.41264568425476
8,419.4413154438111,449.16622940419927
9,593.4917378600048,465.20239701039986
10,405.2918698554071,459.2113442949006
11,454.6432829568036,458.7960659914372
12,521.4502493409993,464.01724793723406
13,308.3146558683456,452.0401254703965
14,499.0781767360187,455.3999862750838
15,716.3782780502468,472.79853906009464
16,480.78974093074714,473.2979891770105
17,656.4239159295244,484.0701025153936
18,467.49118464566317,483.1490515226308
19,541.5871821568836,486.22474260864414
20,628.4205532603348,493.3345331412287
21,507.88056591092186,494.02720136835694
22,531.9883468195204,495.7527079797735
23,437.36851197805936,493.21426467535116
24,603.2743967855545,497.80010351327627
25,415.8628841500622,494.5226147387477
26,586.3079826644353,498.05282119742793
27,415.5350223878618,494.99660642670324
28,514.5016087448574,495.6932136523516
29,350.980905673231,490.70313406686466
30,562.0980448032643,493.0829644247446
31,600.5467482528863,496.54953809662015
32,442.39341627335097,494.8571592896431
33,541.0777380738348,496.25778288916405
34,537.2428473590385,497.4632259618074
35,550.5127432789471,498.9789264565828
36,404.7229191497916,496.36070403139416
37,483.9290264866051,496.0247127463999
38,411.60457572593464,493.8031301932298
39,347.6489751282688,490.05558775566664
40,663.9020038198707,494.4017481572717
41,379.18584204944136,491.5916041058612
42,376.49943444971893,488.8513143521435
43,434.66270422841615,487.591114116708
44,511.10887082983027,488.12560858746076
45,522.4788329812667,488.88901357398976
46,565.2351603687148,490.54871241735333
47,582.3448844932432,492.50182246152116
48,664.8978570974233,496.0934065164359
49,355.46620563560157,493.22346364131687
50,501.48055302755455,493.38860542904166
51,522.0893780152766,493.9513656758306
52,749.9237211444974,498.8739109733049
53,446.5894749977359,497.887412181313
54,495.29889069435427,497.83947659822115
55,514.0294426742876,498.133839617786
56,493.3276065467226,498.0480140272313
57,541.563723840835,498.81144753273315
58,422.2007400104262,497.4905732651072
59,605.8131465209462,499.3265490830027
60,718.5235434661115,502.9798323227212
61,499.9178514560116,502.9296359150702
62,563.2180112465695,503.9020290655783
63,536.4234231862363,504.41824167066807
64,463.4783552353621,503.7785559451164
65,440.477541040228,502.8046941773489
66,448.23526310315566,501.9778846156187
67,435.46260036172845,500.9851191789935
68,467.9586519796625,500.49943583782687
69,470.91903330173835,500.07073435179666
70,379.17219233954245,498.3436123230502
71,445.2168745733392,497.5953484110824
72,476.19263482114116,497.29808850011096
73,569.0004680501027,498.2803128775081
74,613.0628423387407,499.8314281404977
75,541.9248032664315,500.3926731421768
76,362.8138666299768,498.58242568806895
77,714.3296024268024,501.38433707428635
78,483.1575708304699,501.15066058398094
79,640.7532869872622,502.917782437187
80,457.69956904076093,502.3525547697317
81,360.213543485931,500.5977521612897
82,516.8905745515476,500.7964451172685
83,456.312859168843,500.2604982986128
84,553.1344086797513,500.889949612674
85,597.7743738070062,502.02976636790146
86,487.72351672856144,501.8634146279091
87,521.6485107657178,502.0908295260449
88,495.8834930926006,502.0202916120283
89,431.8515301986148,501.23187856243936
90,605.9407631147733,502.3953106130208
91,540.1220287495431,502.8098899332024
92,580.699441802722,503.6565154970016
93,532.2722675194626,503.96421175530753
94,517.7233044071805,504.1105850813913
95,413.05861787970014,503.15214332137356
96,741.9270128819315,505.63938154596275
97,555.5089222066176,506.15350052184573
98,485.66333211521294,505.9444171707577
99,410.2534062245924,504.97784130261454
100,400.95124231648873,503.93757531275327
101,499.673141960978,504.4602560429943
102,485.98631968446267,504.9735601424727
103,502.99057534823856,506.50564928023346
104,572.1412913575217,507.7335946464976
105,606.280260809633,508.86384658620335
106,412.1915165475786,507.6741799086662
107,533.9996209794257,508.3313173817339
108,504.49452947641277,509.1818495220599
109,539.5898564075889,508.64283070753584
110,434.10215120560076,508.93093352103773
111,497.04070909045913,509.3549077823742
112,645.729949646644,510.59770478543084
113,588.4135459038503,513.3986936857858
114,478.6315694341131,513.1942276127668
115,365.38667749308973,509.6843116071951
116,525.9073206856551,510.1354874047442
117,451.4591843664273,508.08584008911316
118,429.5857182671548,507.7067854253281
119,585.4608922628178,508.1455225263874
120,430.19856936457336,506.1633026874299
121,670.380273415898,507.78829976247965
122,427.9338694335624,506.74775498862004
123,373.6044528755155,506.1101143975946
124,485.8917275186411,504.93628770492535
125,351.17403168268874,504.28939918025173
126,586.9991776682704,504.2963111302901
127,417.2926280096688,504.31388718650817
128,379.96190398954195,502.96849013895496
129,476.5016972738475,504.2236980549611
130,491.48809426204707,503.51759854954884
131,522.8446687458664,502.74057775447864
132,412.94323628764795,502.4460759546217
133,546.1316897599469,502.4966154714828
134,518.9351493774208,502.3135384916667
135,412.620948865731,500.93462054753456
136,564.7940460213872,502.53533181625056
137,557.7178929493479,503.2732204808779
