episode,score,score_100_ave
1,380.27179742526226,380.27179742526226
2,380.27179742526226,380.27179742526226
3,380.27179742526226,380.27179742526226
4,380.27179742526226,380.27179742526226
5,380.27179742526226,380.27179742526226
6,380.27179742526226,380.27179742526226
7,380.27179742526226,380.27179742526226
8,380.27179742526226,380.27179742526226
9,380.27179742526226,380.27179742526226
10,380.27179742526226,380.27179742526226
11,380.27179742526226,380.27179742526226
12,380.27179742526226,380.27179742526226
13,380.27179742526226,380.2717974252622
14,380.27179742526226,380.2717974252622
15,380.27179742526226,380.27179742526215
16,380.27179742526226,380.27179742526226
17,380.27179742526226,380.27179742526226
18,380.27179742526226,380.2717974252622
19,380.27179742526226,380.2717974252622
20,380.27179742526226,380.2717974252622
21,380.27179742526226,380.27179742526215
22,380.27179742526226,380.2717974252622
23,380.27179742526226,380.2717974252622
24,356.80755871239734,379.29412081222625
25,557.6039822183977,386.4265152684731
26,557.6039822183977,393.0102639973163
27,557.6039822183977,399.10632763513416
28,557.6039822183977,404.76695815596497
29,557.6039822183977,410.03720036501437
30,557.6039822183977,414.9560930934605
31,557.6039822183977,419.55763790394235
32,557.6039822183977,423.87158616376905
33,557.6039822183977,427.9240830139093
34,557.6039822183977,431.73819769639425
35,557.6039822183977,435.3343629684515
36,557.6039822183977,438.73074128095
37,557.6039822183977,441.94353157655667
38,557.6039822183977,444.9872276460788
39,557.6039822183977,447.8748367376768
40,557.6039822183977,450.6180653746948
41,557.6039822183977,453.22747798063887
42,606.1527186699941,456.8685551399092
43,394.64156003475995,455.42141571885924
44,670.3981767523496,460.3072511968931
45,547.0237466301273,462.23428442874274
46,451.98165747616065,462.0114012341214
47,431.4810382526323,461.36181904302595
48,436.7791195151089,460.84967946952764
49,635.2123829903954,464.4081019903616
50,553.6226152375485,466.1923922553054
51,467.9390662658909,466.22664076531686
52,543.1747904617204,467.7064128748631
53,502.389126303805,468.3608036942771
54,428.7879130492147,467.6279723860352
55,325.76866018237695,465.0487121641505
56,390.15548102007597,463.71133303657774
57,789.4560211020325,469.42615212544536
58,652.3839134908343,472.58059628691757
59,824.9774205124522,478.55342381616396
60,790.6475156159446,483.7549920128269
61,767.9614409438394,488.4141141264501
62,691.5964322476962,491.69124828969603
63,687.6991108864792,494.80248420393065
64,673.7096125400786,497.59790808418296
65,640.0226818103162,499.78905844920035
66,604.6050139920478,501.37717898772837
67,590.3521450496706,502.705163555817
68,567.0217191684063,503.6509952560022
69,534.9303799577261,504.10431967196917
70,538.3103063285722,504.5929766242064
71,502.09218326899327,504.55775418258366
72,516.8199267798407,504.72806213532346
73,464.7645983028741,504.1806174252898
74,462.42565133427786,503.6163611267626
75,460.5950155215439,503.04274318535977
76,436.2238341090359,502.16354701330283
77,466.7275038558069,501.7033386606081
78,455.6714047976913,501.1131856623656
79,445.7008689496865,500.41176393182536
80,450.14228946493347,499.7833955009892
81,468.6753552041718,499.3993456207815
82,445.5739999315255,498.7429389660345
83,425.75832284195957,497.8636062416481
84,419.07391361613253,496.925633710392
85,456.90969289535497,496.4548579360975
86,475.4064141893603,496.2101085902052
87,482.48865873764015,496.05239077580785
88,553.7786249364323,496.70837070945123
89,478.908805306039,496.50837559255893
90,516.909740802801,496.73505742822834
91,439.7097664470011,496.10840587898406
92,608.7611341651093,497.3328920560071
93,491.8580160396335,497.27402242142244
94,615.5657349407074,498.5324448950318
95,616.6534347014823,499.7758237350997
96,607.1698038420494,500.8945110278805
97,661.3469632625648,502.5486600199907
98,642.49844138298,503.97671901349054
99,662.691288717441,505.5798964852476
100,628.4399487209444,506.8084970076046
101,566.4133970343014,508.66991300369506
102,608.6164709709155,510.95335973915167
103,685.1507794014902,514.0021495589139
104,667.185141037523,516.8712829950365
105,651.0821708019756,519.5793867288035
106,421.46316440173496,519.9913003985682
107,597.0642537355671,522.1592249616714
108,715.0102549105503,525.5066095365241
109,771.2772658601715,529.4166642208733
110,560.4625823820368,531.218572070441
111,821.7858230341739,535.6337123265301
112,718.5693956049402,539.0166883083269
113,791.7184672969602,543.131155007044
114,800.3986049778158,547.3324230825696
115,723.3174066922908,550.7628791752397
116,819.6393690910527,555.1565548918977
117,662.960780753333,557.9834447251783
118,779.6190776049444,561.9769175269752
119,775.6314579466083,565.9305141321887
120,790.3538173868735,570.0313343318047
121,669.3110928034597,572.9217272855867
122,801.0276507061395,577.1292858183955
123,763.4336486008713,580.9609043301516
124,553.451493788125,582.9273436809088
125,478.86322069030746,582.139936065628
126,410.8047770673876,580.6719440141178
127,411.4038596199722,579.2099427881336
128,377.0835643801444,577.4047386097511
129,339.504227290562,575.2237410604728
130,346.6972019967245,573.1146732582561
131,306.7092089526425,570.6057255255985
132,298.01450396617116,568.0098307430761
133,290.4753156081228,565.3385440769734
134,307.62863882224696,562.8387906430119
135,267.6839968195491,559.9395907890234
136,269.1034775960805,557.0545857428002
137,269.1034775960805,554.169580696577
138,268.6945086202889,551.280485960596
139,268.83428939692976,548.3927890323813
140,262.7974769701586,545.444723979899
141,266.5776846090277,542.5344610038053
142,260.42052511573576,539.0771390682627
143,272.8723228190187,537.8594466961054
144,272.8723228190187,533.884188156772
145,261.2846034914669,531.0267967253853
146,259.5575163537134,529.1025553141609
147,262.23028196600137,527.4100477512947
148,265.150912762194,525.6937656837655
149,272.8723228190187,522.0703650820517
150,272.8723228190187,519.2628621578664
151,255.86301508962993,517.1421016461038
152,267.9291360838954,514.3896451023255
153,263.99344799492053,512.0056883192367
154,279.8215841953026,510.5160250306975
155,263.53032967206843,509.8936417255944
156,258.460434877002,508.5766912641637
157,258.460434877002,503.2667354019133
158,263.53032967206843,499.3781995637257
159,257.5170339327531,493.7035956979286
160,264.80878114962377,488.44520835326546
161,290.15504113266815,483.6671443551537
162,312.01258939269894,479.8713059266037
163,270.3045875729581,475.69736069346857
164,313.80655381208675,472.09833010618866
165,309.96175808529955,468.7977208689385
166,350.67523834248834,466.2584231124429
167,295.56947496988346,463.31059641164507
168,314.96877803367704,460.7900670002977
169,284.58323858740476,458.2865955865944
170,324.198453117749,456.14547705448626
171,305.3188931814705,454.17774415361106
172,324.198453117749,452.25152941699025
173,328.46927081461126,450.8885761421076
174,303.9342462134801,449.3036620908996
175,317.18572283287125,447.8695691640129
176,289.42360396950045,446.40156686261747
177,317.5829878554099,444.9101217026135
178,337.14682849819724,443.7248759396185
179,289.9485894282568,442.1673531444043
180,258.97310700866046,440.2556613198415
181,336.9788828685808,438.93869659648556
182,306.9076467323639,437.55203306449386
183,308.99143567078283,436.3843641927822
184,283.5864447819542,435.02948950444033
185,279.1256000680827,433.25164857616767
186,314.8427649715056,431.6460120839892
187,333.5560017590594,430.15668551420345
188,323.3474549568817,427.8523738144079
189,370.81343529837835,426.77142011433125
190,353.6191554075115,425.1385142603784
191,386.66835274496935,424.6081001233581
192,383.44970869989845,422.3549858687059
193,435.0915920627438,421.78732162893715
194,579.9463008015784,421.43112728754573
195,461.8515074868447,419.8831080153995
196,539.7822330756495,419.2092323077354
197,461.8515074868447,417.2142777499783
198,405.6649654576375,414.8459429907248
199,405.6649654576375,412.2756797581268
200,581.3947358312818,411.80522762923016
201,471.51699043033614,410.8562635631905
202,489.74063323469477,409.66750518582825
203,474.7140772724474,407.56313816453775
204,360.5537795193366,404.49682454935595
205,465.7171448248571,402.6431742895848
206,417.4026264132213,402.60256890969964
207,486.1565279111818,401.49349165145577
208,511.59722510482476,399.4593613533985
209,600.8837631382703,397.75542632617953
210,586.017366033538,398.0109741626945
211,590.8724200470485,395.7018401328232
212,551.0059843809912,394.0262060205838
213,618.2963043307361,392.2919843909216
214,563.6572999934065,389.9245713410775
215,605.8536571339255,388.74993384549384
216,534.259157907405,385.89613173365746
217,548.2736944244352,384.74926087036846
218,548.0568121594345,382.43363821591333
219,559.3094385285783,380.270418021733
220,565.7006726360232,378.02388657422443
221,565.9976923838635,376.99075257002846
222,596.3233446706331,374.9437095096735
223,594.2977899134931,373.25235092279974
224,577.1501403544087,373.4893373884625
225,537.2907394300181,374.07361257585967
226,646.7715236539634,376.43328004172537
227,592.039364444442,378.2396350899701
228,643.5644812140715,380.90444425830935
229,638.5739445132072,383.89514143053583
230,553.8780546319433,385.9669499568881
231,620.1883155772194,389.10174102313385
232,566.4565157411578,391.7861611408836
233,558.5060294757984,394.46646827956044
234,593.198230810155,397.32216419943956
235,590.8526672014971,400.553850903259
