episode,score,score_100_ave,guess,eps
1,421.42779643460034,421.42779643460034,True,0.9997
2,481.65096726642315,451.53938185051175,True,0.9994000000000001
3,620.9421059108533,508.0069565372923,True,0.9991000000000001
4,518.2499806392327,510.5677125627774,True,0.9988000000000001
5,472.9418847605811,503.04254700233815,True,0.9985000000000002
6,572.8049667144311,514.6696169543536,True,0.9982000000000002
7,482.9982893386273,510.1451415806784,True,0.9979000000000002
8,493.22081653408895,508.02960094985474,True,0.9976000000000003
9,434.86045984351426,499.89969638248357,True,0.9973000000000003
10,471.5126690187222,497.0609936461075,True,0.9970000000000003
11,366.0119034294143,485.1474399900444,True,0.9967000000000004
12,548.3493206005983,490.4142633742572,True,0.9964000000000004
13,512.5773148450629,492.1191134873961,True,0.9961000000000004
14,434.9915329485512,488.0385720203357,True,0.9958000000000005
15,585.821645617396,494.55744359347307,True,0.9955000000000005
16,504.96126961521924,495.2076827198323,True,0.9952000000000005
17,506.0972721001124,495.84824680102525,True,0.9949000000000006
18,344.461804322159,487.43788888553274,True,0.9946000000000006
19,382.9197080361721,481.9369319987243,True,0.9943000000000006
20,501.77073036938356,482.92862191725726,True,0.9940000000000007
21,455.09901226640415,481.6034024100738,True,0.9937000000000007
22,508.3782850302827,482.8204425291742,True,0.9934000000000007
23,529.8180550258212,484.86381698555016,True,0.9931000000000008
24,488.72795118160514,485.02482257705236,True,0.9928000000000008
25,448.1077979337379,483.5481415913198,True,0.9925000000000008
26,664.0993763645058,490.4924198518269,True,0.9922000000000009
27,625.2102869376572,495.4819704846355,True,0.9919000000000009
28,437.23089007725406,493.4015747558004,True,0.9916000000000009
29,508.354383840603,493.9171888621729,True,0.991300000000001
30,585.9123031508607,496.98369267179584,True,0.991000000000001
31,395.328774364564,493.70450175865926,True,0.990700000000001
32,358.6602278859369,489.4843682001367,True,0.9904000000000011
33,383.197324588306,486.2635486967479,True,0.9901000000000011
34,438.07761128523805,484.84631524346815,True,0.9898000000000011
35,373.03731667619394,481.65177242726025,True,0.9895000000000012
36,651.0395419546526,486.35698824746555,True,0.9892000000000012
