episode,score,score_100_ave
1,379.94872182812406,379.94872182812406
2,474.33730937081276,427.1430155994684
3,315.3548843764679,389.8803051918016
4,564.9848730970052,433.6564471681025
5,518.610171037579,450.6471919419978
6,449.4477356774048,450.44728256456557
7,413.7015706372108,445.19789514637205
8,550.2527120037275,458.32974725354154
9,454.8949851181819,457.9481070162793
10,507.75474108453756,462.9287704231051
11,470.59429380448563,463.6256361850488
12,334.91808661648685,452.9000070543353
13,630.3711112565205,466.5516304545034
14,559.6240533195246,473.1996606591478
15,316.79319374108456,462.7725628646103
16,560.9350859131154,468.9077205551418
17,522.6529371158365,472.0692038822415
18,446.34843926511587,470.64027251462335
19,519.6241474911379,473.21837119759783
20,397.05747182753095,469.4103262290945
21,545.003593639249,473.0100056295781
22,618.2509507831304,479.61186677292136
23,561.7618676536017,483.1836059416466
24,370.7974796058591,478.5008506776555
25,378.16604965818027,474.48745863687645
26,583.3289998027509,478.67367175864086
27,370.07332465466743,474.6514366807159
28,501.7186751097431,475.6181237674669
29,425.8573250886152,473.9022341578513
30,594.6337365230291,477.9266175700239
31,507.6694519181412,478.886063839318
32,414.1661364030997,476.86356610693616
33,574.940833986497,479.8356045275289
34,547.5131630314652,481.82612095411525
35,416.5692526897846,479.96163900370584
36,488.89843142852953,480.2098832377287
37,560.4336501917139,482.378093155404
38,471.6795169595963,482.09655167656695
39,527.8758305219893,483.2703793392701
40,507.1169869345878,483.866544529153
41,591.8502170983512,486.50029264059685
42,582.9589147791091,488.7969265010376
43,397.51097059247104,486.67399729386165
44,452.0829514686862,485.8878371614712
45,373.4506967670476,483.3892340415951
46,652.0446032724731,487.0556551118316
47,478.429840064728,486.87212713210596
48,628.2504385156456,489.8175086192632
49,527.1605506360394,490.5796115175648
50,533.6632815014694,491.4412849172429
51,479.43149552408653,491.20579885071044
52,587.6301581418267,493.06011345246264
53,529.3788815402107,493.7453732277032
54,319.5428996317781,490.51940149444533
55,383.66236081465024,488.5765462093582
56,401.2846753071146,487.01776280038945
57,487.8600920555872,487.032540506621
58,524.1606077147757,487.6726795964168
59,589.9933049829277,489.4069274843237
60,471.64700992500946,489.11092885833517
61,489.0945178031854,489.11065982464424
62,478.4852146430785,488.93928167655446
63,418.78511309206505,487.8257234450546
64,370.92097072027923,485.99908668372996
65,495.9673464758411,486.15244452668554
66,470.55068895697644,485.91605429078083
67,496.0451758326647,486.0672352093164
68,515.5293494388894,486.50050159504536
69,419.1671897452671,485.52465649577323
70,403.12566762027205,484.3475280832661
71,580.8663155562537,485.7069476251392
72,353.264334157207,483.8674668825291
73,417.9320876779278,482.96424250986337
74,430.27635742128626,482.2522440627205
75,497.5745134022874,482.456540987248
76,358.0472762028897,480.81957697692746
77,480.23319630158886,480.81196164348154
78,596.1844524337042,482.2910961407921
79,458.41607287309813,481.98888065639096
80,589.1245923662317,483.3280770527637
81,516.6221244642111,483.7391146751272
82,439.0806976248369,483.1944998330505
83,448.77434978791575,482.779799230097
84,464.37040522813294,482.5606397776927
85,578.2051881549128,483.68586975860114
86,675.3903102647957,485.914991159836
87,499.34004848478975,486.0693021635711
88,527.6169433157581,486.5414344493916
89,431.77482945597353,485.926079337106
90,665.9487734551557,487.92633149397324
91,461.5081002331133,487.6360212603374
92,591.8944885183034,488.7692654696631
93,699.9773166946449,491.0403197839102
94,344.7401168379498,489.48393464618727
95,415.92064927655366,488.7095842738753
96,546.5995767064085,489.31260502838086
97,493.8939229610626,489.3598351101611
98,459.89075551931603,489.05913021637696
99,472.28059265389106,488.8896500389781
100,637.3132940319242,490.3738864789076
101,507.1470795861587,491.6458700564879
102,461.9881481717156,491.52237844449695
103,464.3483365972171,493.0123129667045
104,389.0890812989782,491.2533550487242
105,396.87201913191615,490.03597352966744
106,397.6595639823051,489.51809181271653
107,300.57627019395676,488.3868388082839
108,512.1858475818216,488.006170164065
109,463.1008757748667,488.08822907063177
110,507.9803710719284,488.0904853705058
111,501.3538231555722,488.3980806640165
112,572.5702092073013,490.77460188992467
113,573.8040753557306,490.20893153091674
114,596.6168569029822,490.57885956675136
115,569.6942523946485,493.107870153287
116,367.147203299764,491.16999132715347
117,624.7844896241193,492.1913068522363
118,567.0180595943964,493.3980030555291
119,566.8886923412238,493.87064850403
120,370.17855089118336,493.6018592946665
121,541.8813036039139,493.5706363943131
122,630.898638395683,493.69711327043865
123,448.2471153384873,492.56196574728745
124,454.1997128036977,493.39598807926586
125,310.71411869494364,492.7214687696335
126,574.998114232744,492.6381599139336
127,416.1002038642138,493.0984287060289
128,455.96628798439633,492.6409048347755
129,672.2738678757944,495.1050702626473
130,507.09264843043724,494.2296593817214
131,575.1148455623571,494.9041133181635
132,501.5744605686575,495.77819655981904
133,583.0222863865799,495.85901108381984
134,421.85012846395205,494.6023807381447
135,448.03894247570673,494.91707763600397
136,426.8638685971838,494.29673200769054
137,733.4164443081045,496.0265599488544
138,514.0740912775809,496.45050569203426
139,538.3792953567895,496.5555403403822
140,425.2160653942965,495.7365311249794
141,495.1303744588295,494.7693326985842
142,626.6517587218189,495.2062611380113
143,426.4744787348676,495.4958962194352
144,411.83079396402854,495.0933746443887
145,582.3867163985997,497.18273484070414
146,475.1381959923722,495.4136707679032
147,403.31519444638514,494.66252431171966
148,416.4140430996232,492.5441603575595
149,481.514058034883,492.0876954315479
150,408.95827654038084,490.84064538193707
151,531.3113273560446,491.3594437002567
152,559.645902356376,491.0796011424021
153,376.4790286697693,489.5506026136977
